# gamma	CrltnCoeff
7.000000000000029636e-03 -7.135857067569582879e-02
1.400000000000005927e-02 -6.165438867857481187e-02
2.099999999999992498e-02 -7.999781517374635054e-02
2.799999999999995548e-02 -5.784636688255295756e-02
3.499999999999998251e-02 -8.171577615635235159e-02
4.200000000000001649e-02 -6.365974373012839305e-02
4.900000000000004352e-02 -9.007844628750080740e-02
5.600000000000007055e-02 -8.656831065514222767e-02
6.299999999999994493e-02 -1.217179460741359270e-01
6.999999999999996503e-02 -1.329972996822262887e-01
7.699999999999999900e-02 -1.143615979677541639e-01
8.400000000000003297e-02 -1.324014650167191776e-01
9.100000000000005307e-02 -1.498354410189482733e-01
9.799999999999992051e-02 -1.726496291929931204e-01
1.049999999999999545e-01 -1.658967175087976698e-01
1.119999999999999885e-01 -1.875726821438582770e-01
1.190000000000000085e-01 -2.267731450915611013e-01
1.260000000000000564e-01 -2.456664025175403776e-01
1.329999999999999238e-01 -2.840249810236279426e-01
1.399999999999999301e-01 -2.640744199068839060e-01
1.469999999999999640e-01 -2.870223348831262844e-01
1.539999999999999980e-01 -2.874974232427008336e-01
1.610000000000000320e-01 -3.043040629033915700e-01
1.680000000000000659e-01 -3.171970074865025913e-01
1.749999999999999334e-01 -2.984306877406554537e-01
1.819999999999999674e-01 -2.656014802356381765e-01
1.889999999999999736e-01 -2.699082218459041838e-01
1.960000000000000075e-01 -2.688989233426842818e-01
