# gamma	xc	yc
0.000000000000000000e+00 5.817449275362314154e+00 nan
8.000000000000033126e-03 1.047140869565216548e+01 9.098379220779207799e+00
1.600000000000006625e-02 9.307918840579702646e+00 9.098379220779207799e+00
2.399999999999993805e-02 1.745234782608694246e+01 1.478486623376621267e+01
3.199999999999997985e-02 1.512536811594201680e+01 1.933405584415581657e+01
4.000000000000001471e-02 1.047140869565216548e+01 1.705946103896101462e+01
4.800000000000004263e-02 1.047140869565216548e+01 1.592216363636361365e+01
5.600000000000007055e-02 1.396187826086955397e+01 2.047135324675321755e+01
6.399999999999995970e-02 1.163489855072462831e+01 2.502054285714282145e+01
7.199999999999998068e-02 1.047140869565216548e+01 2.615784025974022242e+01
8.000000000000002942e-02 1.163489855072462831e+01 2.729513766233762340e+01
8.800000000000005040e-02 1.279838840579709114e+01 3.070702987012982632e+01
9.600000000000008527e-02 1.279838840579709114e+01 3.298162467532462472e+01
1.039999999999999536e-01 1.512536811594201680e+01 3.298162467532462472e+01
1.119999999999999885e-01 1.628885797101447963e+01 nan
1.200000000000000233e-01 1.512536811594201680e+01 nan
1.280000000000000582e-01 1.628885797101447963e+01 nan
1.359999999999999265e-01 1.628885797101447963e+01 nan
1.439999999999999614e-01 1.628885797101447963e+01 nan
1.519999999999999962e-01 1.628885797101447963e+01 nan
1.600000000000000588e-01 1.628885797101447963e+01 nan
1.680000000000000659e-01 1.628885797101447963e+01 nan
1.759999999999999343e-01 1.745234782608694246e+01 nan
1.839999999999999691e-01 1.745234782608694246e+01 nan
1.920000000000000040e-01 1.745234782608694246e+01 nan
2.000000000000000389e-01 1.745234782608694246e+01 nan
