# gamma	percentage
0.000000000000000000e+00 9.790623682627977997e-01
6.999999936059921220e-03 9.832845645764206610e-01
1.399999987211984244e-02 9.683444853128317931e-01
2.099999980817976453e-02 9.785751917650720166e-01
2.799999974423968488e-02 9.795495447605234718e-01
3.500000082208672147e-02 9.805238977559749269e-01
4.199999847457241281e-02 9.676949166491974896e-01
4.900000183599367148e-02 9.556778963719629871e-01
5.599999948847936976e-02 9.521052687219743182e-01
6.299999828275217040e-02 9.430113074310941812e-01
7.000000164417342907e-02 9.298575419924995922e-01
7.699999929665914122e-02 9.409002092742826395e-01
8.399999694914482562e-02 9.233618553561565578e-01
9.100000145235320748e-02 9.137807175675506377e-01
9.800000367198734297e-02 8.993278148016875528e-01
1.049999967573245901e-01 8.744818134176756130e-01
1.120000001187458488e-01 8.770800880722127157e-01
1.190000034801671075e-01 8.728578917585898544e-01
1.259999954237172315e-01 8.796783627267499295e-01
1.329999999269255995e-01 8.535332240154693828e-01
1.400000021465597766e-01 8.637639304677096064e-01
1.469999963736840776e-01 8.567810673336409000e-01
1.539999985933182824e-01 8.627895774722581512e-01
1.610000019547395134e-01 8.504477728632066080e-01
1.679999950400767328e-01 8.559691065040980762e-01
1.749999972597109099e-01 8.567810673336409000e-01
1.820000006211321963e-01 8.564562830018237483e-01
1.889999937064694435e-01 8.514221258586579522e-01
1.960000084857618230e-01 8.450888313882235492e-01
