# gamma	CrltnCoeff
7.999999999999930778e-03 -1.123518914666421370e-01
1.600000000000002462e-02 -9.007681192934628711e-02
2.399999999999995540e-02 -1.169907303166100726e-01
3.200000000000004924e-02 -1.079743548414651561e-01
3.999999999999997308e-02 -1.120906422633652089e-01
4.800000000000007733e-02 -1.310819666528480754e-01
5.600000000000000810e-02 -1.314205934150464439e-01
6.399999999999993194e-02 -1.561053237375468750e-01
7.200000000000003619e-02 -1.403058854092512076e-01
7.999999999999994615e-02 -1.472242972657994697e-01
8.800000000000005040e-02 -1.476331771059863351e-01
9.599999999999998812e-02 -1.880039386348651143e-01
1.040000000000000785e-01 -1.923936721286383100e-01
1.120000000000000162e-01 -1.848239843441384922e-01
1.199999999999999400e-01 -2.492916949963145945e-01
1.280000000000000304e-01 -2.340970082959189791e-01
1.359999999999999543e-01 -2.322105321660091759e-01
1.440000000000000724e-01 -2.334186613213937445e-01
1.519999999999999962e-01 -2.503185393472356912e-01
1.600000000000000866e-01 -2.560493135751540361e-01
1.680000000000000104e-01 -2.580296485741758183e-01
1.760000000000001008e-01 -3.040136173708916090e-01
1.840000000000000524e-01 -2.977609501700132499e-01
1.919999999999999762e-01 -2.754196113253081224e-01
2.000000000000000666e-01 -2.731387115410840449e-01
