# gamma	percentage
0.000000000000000000e+00 9.358784988765471713e-01
7.000000118915019470e-03 9.522143078986547993e-01
1.400000023783003894e-02 9.368586474178736134e-01
2.100000035674506188e-02 9.373487216885367790e-01
2.799999933224642593e-02 9.265670877339458045e-01
3.499999945116144540e-02 9.255869391926193623e-01
4.200000071349012376e-02 9.283640267263776336e-01
4.900000083240513976e-02 9.151320214184703872e-01
5.599999866449285185e-02 9.139885147869228899e-01
6.300000107023517870e-02 9.102312787118381765e-01
6.999999890232289079e-02 8.893214431635403372e-01
7.699999673441060288e-02 8.778863768480650309e-01
8.400000028356657822e-02 8.749459312240855935e-01
9.099999811565429031e-02 8.680848914348003875e-01
9.800000166481027952e-02 8.488086367887133221e-01
1.049999983534843501e-01 8.506055757811452622e-01
1.119999961855720622e-01 8.318193954057214734e-01
1.189999940176597604e-01 8.122164245791922976e-01
1.260000021404703574e-01 7.994744935419483278e-01
1.330000011159717110e-01 7.886928595873572423e-01
1.399999978046457816e-01 7.898363662189048506e-01
1.469999967801471352e-01 7.788913741740925989e-01
1.539999934688212058e-01 7.770944351816607698e-01
1.609999913009089179e-01 7.779112256327660457e-01
1.680000005671331564e-01 7.694166049412702879e-01
1.749999972558072270e-01 7.726837667456916137e-01
1.819999962313085806e-01 7.643525041444168000e-01
1.890000043541191777e-01 7.672929497683962374e-01
1.960000021862068897e-01 7.630456394226482475e-01
