# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.999999999999930778e-03 8.114239188695641758e+00 2.385202115629091679e+01
1.600000000000002462e-02 1.043259324260868226e+01 9.086484250015587349e+00
2.399999999999995540e-02 9.273416215652162009e+00 9.086484250015587349e+00
3.200000000000004924e-02 8.114239188695641758e+00 1.135810531251948419e+01
3.999999999999997308e-02 2.434271756608692527e+01 7.950673718763638931e+00
4.800000000000007733e-02 1.275094729652172276e+01 9.086484250015587349e+00
5.600000000000000810e-02 1.159177026956520251e+01 9.086484250015587349e+00
6.399999999999993194e-02 1.391012432347824301e+01 9.086484250015587349e+00
7.200000000000003619e-02 nan 9.086484250015587349e+00
7.999999999999994615e-02 1.275094729652172276e+01 7.950673718763638931e+00
8.800000000000005040e-02 2.434271756608692527e+01 9.086484250015587349e+00
9.599999999999998812e-02 nan 1.022229478126753577e+01
1.040000000000000785e-01 nan 1.476553690627532944e+01
1.120000000000000162e-01 nan 1.590134743752727786e+01
1.199999999999999400e-01 1.506930135043476326e+01 1.703715796877922628e+01
1.280000000000000304e-01 1.622847837739128352e+01 1.817296850003117470e+01
1.359999999999999543e-01 1.738765540434780377e+01 1.817296850003117470e+01
1.440000000000000724e-01 1.738765540434780377e+01 2.044458956253507154e+01
1.519999999999999962e-01 1.738765540434780377e+01 nan
1.600000000000000866e-01 1.622847837739128352e+01 nan
1.680000000000000104e-01 1.506930135043476326e+01 nan
1.760000000000001008e-01 1.506930135043476326e+01 nan
1.840000000000000524e-01 1.622847837739128352e+01 nan
1.919999999999999762e-01 1.622847837739128352e+01 nan
2.000000000000000666e-01 1.622847837739128352e+01 nan
