# gamma	d2min
6.999999999999935094e-03 6.323851226818971716e-01
1.400000000000003325e-02 6.449544406585384637e-01
2.099999999999996661e-02 6.632338113774463029e-01
2.800000000000006650e-02 6.849762778488004411e-01
3.500000000000000333e-02 7.203155619436553136e-01
4.199999999999993322e-02 7.664454852667297313e-01
4.900000000000003658e-02 8.551054386462280110e-01
5.599999999999996647e-02 9.701234364918718267e-01
6.300000000000005596e-02 1.086298929478377584e+00
7.000000000000000666e-02 1.219577340165325152e+00
7.699999999999994349e-02 1.367351291871843344e+00
8.400000000000003297e-02 1.528930359992503263e+00
9.099999999999998368e-02 1.742593090336963302e+00
9.799999999999990663e-02 2.035166645663668117e+00
1.050000000000000100e-01 2.419736327797506803e+00
1.119999999999999329e-01 2.794048330007101733e+00
1.190000000000000363e-01 3.463112931709674491e+00
1.259999999999999731e-01 4.028355300828597940e+00
1.330000000000000626e-01 4.477144999392360880e+00
1.400000000000000133e-01 5.025132052385179904e+00
1.469999999999999363e-01 5.616904887711095640e+00
1.540000000000000535e-01 6.183164859874131558e+00
1.609999999999999765e-01 6.680998449984215881e+00
1.679999999999999272e-01 7.281722632402146900e+00
1.750000000000000167e-01 7.850886464510337781e+00
1.819999999999999951e-01 8.520904776473722464e+00
1.890000000000000291e-01 9.204365060801373843e+00
1.959999999999999798e-01 9.708406626550662111e+00
