# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.999999999999949860e-03 9.230270101333360344e+00 9.035135374441551903e+00
1.600000000000006278e-02 8.076486338666690301e+00 1.807027074888310381e+01
2.400000000000001091e-02 2.307567525333340086e+01 1.694087882707790982e+01
3.199999999999995903e-02 1.038405386400003039e+01 1.355270306166232785e+01
4.000000000000007022e-02 1.038405386400003039e+01 1.355270306166232785e+01
4.800000000000002182e-02 1.153783762666670043e+01 1.468209498346752184e+01
5.599999999999996647e-02 1.153783762666670043e+01 1.242331113985713387e+01
6.400000000000008460e-02 1.038405386400003039e+01 1.129391921805193988e+01
7.200000000000003619e-02 1.038405386400003039e+01 1.016452729624674589e+01
7.999999999999997391e-02 1.038405386400003039e+01 1.129391921805193988e+01
8.799999999999993938e-02 nan 1.016452729624674589e+01
9.600000000000004363e-02 nan 1.016452729624674589e+01
1.039999999999999952e-01 nan 1.016452729624674589e+01
1.119999999999999329e-01 nan 1.355270306166232785e+01
1.200000000000000372e-01 nan nan
1.280000000000000027e-01 nan nan
1.359999999999999543e-01 nan nan
1.439999999999999059e-01 2.653702654133341099e+01 nan
1.520000000000000240e-01 2.422945901600007090e+01 nan
1.599999999999999478e-01 2.192189149066673082e+01 nan
1.679999999999999272e-01 2.076810772800006077e+01 nan
1.760000000000000175e-01 1.961432396533339073e+01 nan
1.839999999999999691e-01 1.846054020266672069e+01 nan
1.920000000000000040e-01 1.961432396533339073e+01 nan
2.000000000000000389e-01 1.961432396533339073e+01 nan
