# gamma	CrltnCoeff
8.000000000000067821e-03 -3.839356903775534985e-02
1.599999999999997605e-02 -4.481864677204534103e-02
2.400000000000004213e-02 -5.149377323171098336e-02
3.199999999999995209e-02 -8.122359163472328558e-02
4.000000000000001471e-02 -1.184654731699883168e-01
4.799999999999991773e-02 -8.361196761710829040e-02
5.599999999999998729e-02 -1.113003341998324430e-01
6.400000000000004297e-02 -1.198052540926522885e-01
7.199999999999995293e-02 -1.451415262268127282e-01
8.000000000000002942e-02 -1.394831935979373438e-01
8.800000000000009204e-02 -1.661753966315086262e-01
9.600000000000000200e-02 -1.552026339203768646e-01
1.040000000000000646e-01 -1.262762396902889772e-01
1.119999999999999746e-01 -1.534254644900654163e-01
1.200000000000000372e-01 -1.550622198398728946e-01
1.279999999999999472e-01 -1.764002109034327748e-01
1.360000000000000098e-01 -2.115956811520836034e-01
1.440000000000000724e-01 -2.406166239848920585e-01
1.519999999999999962e-01 -2.330695168703965092e-01
1.600000000000000588e-01 -2.412022396169837268e-01
1.679999999999999549e-01 -2.447654206121091802e-01
1.760000000000000175e-01 -2.392279217701673011e-01
1.840000000000000246e-01 -2.497640615103894901e-01
1.920000000000000040e-01 -2.613240698340232315e-01
2.000000000000000666e-01 -2.574243360934453384e-01
