# gamma	CrltnCoeff
7.999999999999991493e-03 -7.017105093110445613e-02
1.599999999999998299e-02 -5.181537330607900727e-02
2.399999999999997621e-02 -7.122271594787647764e-02
3.199999999999996597e-02 -7.970288215553264499e-02
3.999999999999995920e-02 -9.518184471550265868e-02
4.799999999999995243e-02 -1.052169786313334465e-01
5.599999999999994565e-02 -1.329142072864832325e-01
6.399999999999993194e-02 -1.332849553942646037e-01
7.199999999999992517e-02 -1.448608177063983316e-01
8.000000000000008493e-02 -1.645317991713671490e-01
8.800000000000007816e-02 -1.579749770598153080e-01
9.600000000000007139e-02 -1.761148207286156731e-01
1.040000000000000646e-01 -1.811816136481483042e-01
1.120000000000000578e-01 -2.013730661369755315e-01
1.200000000000000511e-01 -2.084990632762305784e-01
1.280000000000000304e-01 -2.000150065219500062e-01
1.360000000000000375e-01 -2.229980101168125561e-01
1.440000000000000169e-01 -2.052643030570161231e-01
1.520000000000000240e-01 -2.298089332251273265e-01
1.600000000000000033e-01 -2.475945949746378161e-01
1.680000000000000104e-01 -2.176764353453954637e-01
1.759999999999999898e-01 -2.146979579192156151e-01
1.839999999999999969e-01 -2.243756686599610306e-01
1.919999999999999762e-01 -2.289378496123130879e-01
1.999999999999999556e-01 -2.234931257106616831e-01
