# gamma	percentage
0.000000000000000000e+00 8.392641943645533509e-01
7.000000280842216815e-03 8.432082595035291783e-01
1.400000056168443363e-02 8.292396954696565903e-01
2.100000198882141442e-02 8.323620803713456251e-01
2.799999997707410676e-02 8.331837606086324177e-01
3.500000255050584458e-02 8.226662535713636926e-01
4.200000283134806833e-02 8.223375814764490865e-01
4.900000311219027821e-02 8.137921070086681086e-01
5.599999995414821352e-02 8.160928116730705728e-01
6.300000252757996522e-02 8.003165511171677071e-01
7.000000510101170303e-02 7.914424045544721231e-01
7.700000308926438497e-02 7.922640847917586937e-01
8.400000566269613667e-02 7.832256021816058622e-01
9.100000365094883248e-02 7.876626754629536542e-01
9.800000622438055642e-02 7.796102091375447518e-01
1.050000087978123081e-01 7.651486369613003102e-01
1.119999999082964270e-01 7.449353031240494305e-01
1.190000024817281649e-01 7.423059263647322492e-01
1.260000050551599027e-01 7.431276066020188198e-01
1.330000087748864079e-01 7.316240832800061655e-01
1.400000113483181596e-01 7.303093949003476304e-01
1.470000036050970182e-01 7.191345436732495822e-01
1.540000061785287699e-01 7.243932971918839447e-01
1.610000087519605216e-01 7.068093401139502463e-01
1.680000113253922733e-01 7.206135681003654758e-01
1.750000024358764061e-01 7.127254378224138209e-01
1.820000050093081301e-01 7.133827820122432550e-01
1.889999972660869887e-01 7.046729714970051406e-01
1.960000113024663870e-01 6.913617516529618756e-01
