# gamma	xc	yc
0.000000000000000000e+00 nan nan
8.000000000000031392e-03 1.747337209302323302e+01 1.708687628865978070e+01
1.599999999999997952e-02 nan 1.438894845360823638e+01
2.400000000000001091e-02 nan 1.169102061855669206e+01
3.199999999999995903e-02 nan 9.892402061855662510e+00
3.999999999999998695e-02 nan 9.892402061855662510e+00
4.800000000000002182e-02 nan 9.892402061855662510e+00
5.599999999999997341e-02 nan 1.079171134020617728e+01
6.400000000000000133e-02 nan 9.892402061855662510e+00
7.200000000000003619e-02 nan 1.079171134020617728e+01
7.999999999999997391e-02 nan 9.892402061855662510e+00
8.799999999999999489e-02 nan 1.169102061855669206e+01
9.600000000000000200e-02 nan 1.259032989690720683e+01
1.039999999999999952e-01 nan 1.169102061855669206e+01
1.120000000000000162e-01 nan 1.169102061855669206e+01
1.199999999999999678e-01 nan 1.259032989690720683e+01
1.280000000000000027e-01 nan 1.259032989690720683e+01
1.360000000000000375e-01 nan 1.259032989690720683e+01
1.439999999999999891e-01 nan 1.259032989690720683e+01
1.519999999999999962e-01 nan 1.259032989690720683e+01
1.600000000000000033e-01 nan 1.348963917525772160e+01
1.679999999999999827e-01 nan 1.259032989690720683e+01
1.760000000000000175e-01 nan 1.348963917525772160e+01
1.840000000000000246e-01 nan 1.259032989690720683e+01
1.920000000000000040e-01 nan 1.169102061855669206e+01
1.999999999999999833e-01 nan 1.169102061855669206e+01
