# gamma	percentage
0.000000000000000000e+00 8.808289384639351738e-01
6.999999856921271593e-03 8.758023323855790299e-01
1.399999971384254319e-02 8.793209566404283084e-01
2.100000072462452835e-02 8.752996717777433711e-01
2.799999942768508637e-02 8.798236172482638562e-01
3.500000159232778685e-02 8.657491202288668530e-01
4.200000029538834834e-02 8.608900676864560397e-01
4.899999899844890289e-02 8.642411384053598766e-01
5.599999885537017275e-02 8.486586595624558971e-01
6.300000332773428302e-02 8.525123908891956148e-01
7.000000203079485839e-02 8.484911060265107885e-01
7.700000188771613518e-02 8.469831242030040341e-01
8.400000059077669667e-02 8.369299120462917463e-01
9.100000044769794572e-02 8.144777382296344292e-01
9.799999915075850720e-02 7.901824755175801407e-01
1.049999978538190826e-01 8.014085624259087437e-01
1.119999965568796302e-01 7.802968168968128504e-01
1.190000067985473170e-01 7.767781926419636829e-01
1.260000066554685938e-01 7.685680693806485886e-01
1.330000053585291553e-01 7.729244613152240762e-01
1.400000040615897168e-01 7.610281602631145947e-01
1.470000039185109797e-01 7.663898734133610668e-01
1.540000026215715134e-01 7.627036956225665687e-01
1.610000013246321027e-01 7.752702108184569285e-01
1.680000011815533933e-01 7.744324431387307195e-01
1.749999998846139271e-01 7.663898734133610668e-01
1.819999997415352178e-01 7.670600875571419452e-01
1.889999984445957792e-01 7.618659279428406927e-01
1.959999983015170144e-01 7.687356229165939192e-01
