# gamma	CrltnCoeff
8.000000000000017514e-03 -5.571673125914293478e-02
1.600000000000003503e-02 -4.900781446851186496e-02
2.400000000000005254e-02 -8.284703810432825222e-02
3.200000000000007006e-02 -6.305627054172902035e-02
3.999999999999992450e-02 -9.600059654010638377e-02
4.799999999999993855e-02 -1.150857846137604279e-01
5.599999999999995259e-02 -9.052452512993611200e-02
6.399999999999997358e-02 -1.497314482141312297e-01
7.199999999999999456e-02 -1.517861941745547449e-01
8.000000000000000167e-02 -1.644554344918313371e-01
8.800000000000002265e-02 -1.763163786234124286e-01
9.600000000000004363e-02 -1.699150324522595012e-01
1.040000000000000646e-01 -1.592662262752504998e-01
1.120000000000000717e-01 -1.818771256947974146e-01
1.200000000000000927e-01 -2.227605240442501744e-01
1.279999999999999472e-01 -2.571062058443031595e-01
1.359999999999999543e-01 -2.723483368529232562e-01
1.439999999999999891e-01 -2.614618451424526313e-01
1.520000000000000240e-01 -2.943576281126145666e-01
1.600000000000000033e-01 -2.642208407777665302e-01
1.680000000000000382e-01 -2.811414860501927904e-01
1.760000000000000453e-01 -2.790398657658511028e-01
1.840000000000000524e-01 -2.827802690516174611e-01
1.920000000000000040e-01 -2.861909534493410345e-01
2.000000000000000111e-01 -2.873678136749773793e-01
