# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000014891e-03 1.151431884057970478e+01 1.013042337662337644e+01
1.400000000000002978e-02 1.727147826086955718e+01 2.026084675324675288e+01
2.100000000000004641e-02 1.612004637681158670e+01 1.800964155844155812e+01
2.800000000000005956e-02 1.496861449275361622e+01 1.800964155844155812e+01
3.500000000000007272e-02 1.266575072463767526e+01 1.688403896103896074e+01
4.199999999999992628e-02 1.266575072463767526e+01 1.463283376623376597e+01
4.899999999999993944e-02 1.266575072463767526e+01 1.575843636363636335e+01
5.599999999999995259e-02 1.496861449275361622e+01 1.688403896103896074e+01
6.299999999999997269e-02 1.612004637681158670e+01 1.688403896103896074e+01
6.999999999999997891e-02 1.496861449275361622e+01 1.688403896103896074e+01
7.699999999999999900e-02 1.381718260869564574e+01 1.800964155844155812e+01
8.400000000000001910e-02 3.684582028985505531e+01 1.463283376623376597e+01
9.100000000000002531e-02 3.914868405797099626e+01 1.350723116883116859e+01
9.800000000000004541e-02 nan 1.463283376623376597e+01
1.050000000000000655e-01 nan 1.688403896103896074e+01
1.120000000000000717e-01 nan 1.800964155844155812e+01
1.190000000000000918e-01 nan 1.913524415584415550e+01
1.259999999999999454e-01 nan 1.800964155844155812e+01
1.329999999999999516e-01 nan 1.688403896103896074e+01
1.399999999999999578e-01 nan 1.688403896103896074e+01
1.469999999999999918e-01 nan 1.688403896103896074e+01
1.539999999999999980e-01 nan 1.688403896103896074e+01
1.610000000000000042e-01 nan 1.800964155844155812e+01
1.680000000000000382e-01 nan 1.800964155844155812e+01
1.750000000000000444e-01 nan 1.800964155844155812e+01
1.820000000000000506e-01 nan 1.800964155844155812e+01
1.890000000000000013e-01 nan 1.800964155844155812e+01
1.960000000000000075e-01 nan 1.800964155844155812e+01
