# gamma	CrltnCoeff
8.000000000000010575e-03 -7.106178246775148033e-02
1.600000000000002115e-02 -9.658969219764891589e-02
2.400000000000003519e-02 -1.042849224134211467e-01
3.200000000000004230e-02 -1.112234986726951258e-01
4.000000000000005634e-02 -1.335134078922115553e-01
4.800000000000007039e-02 -1.131546325014139848e-01
5.600000000000008443e-02 -1.247310192929466793e-01
6.399999999999993194e-02 -1.591654281480544830e-01
7.199999999999993905e-02 -1.672212113210755913e-01
7.999999999999996003e-02 -1.465935450579225474e-01
8.799999999999996714e-02 -1.737048990936056192e-01
9.599999999999997424e-02 -1.840365165176212070e-01
1.039999999999999952e-01 -2.084620688840295166e-01
1.120000000000000023e-01 -2.206367691061443537e-01
1.200000000000000094e-01 -2.304160091335420435e-01
1.280000000000000304e-01 -2.386112849529254398e-01
1.360000000000000375e-01 -2.290739641345443112e-01
1.440000000000000446e-01 -2.523366314133392851e-01
1.520000000000000795e-01 -2.700334962854256116e-01
1.600000000000000588e-01 -2.731105615233044293e-01
1.680000000000000937e-01 -2.615452122627853204e-01
1.760000000000001008e-01 -2.287889744582548845e-01
1.840000000000000246e-01 -2.810567791218519518e-01
1.919999999999999485e-01 -2.760225999321695989e-01
1.999999999999999556e-01 -2.789028860147305111e-01
