# gamma	percentage
0.000000000000000000e+00 9.228931457100449931e-01
7.000000192706080406e-03 9.250332832223944202e-01
1.400000038541216081e-02 9.210822601226724693e-01
2.100000057811824208e-02 9.194360004977883971e-01
2.799999962376431561e-02 9.220700158976029570e-01
3.500000211059040023e-02 9.033026561739238014e-01
4.200000115623648417e-02 9.130155879607402269e-01
4.900000020188255423e-02 9.000101369241555460e-01
5.599999924752863123e-02 8.965529917118988390e-01
6.300000402847472092e-02 8.823951589378953297e-01
7.000000307412081180e-02 8.814074031629648420e-01
7.700000326682687746e-02 8.753162425508935751e-01
8.400000231247296834e-02 8.626400434392857974e-01
9.100000250517904787e-02 8.496345924027010055e-01
9.800000040376510846e-02 8.448604394905372406e-01
1.050000051847112120e-01 8.280685913167188383e-01
1.119999996421172789e-01 8.288917211291609854e-01
1.190000044230633686e-01 8.055148344558061835e-01
1.260000080569494418e-01 8.056794604182947461e-01
1.330000025143555087e-01 7.972835363313857115e-01
1.400000072953016261e-01 7.898753680194070537e-01
1.470000006056476627e-01 7.953080247815247361e-01
1.540000053865937801e-01 7.887229862819881143e-01
1.609999998439998470e-01 7.923447574567332730e-01
1.680000046249459367e-01 7.910277497568259930e-01
1.750000094058920264e-01 7.796685583451254953e-01
1.820000027162380907e-01 7.877352305070576266e-01
1.889999960265841550e-01 7.860889708821735544e-01
1.960000008075302169e-01 7.747297794704730567e-01
