# gamma	d2min
6.999999999999990605e-03 6.802578250986426323e-01
1.399999999999998121e-02 7.131052815123894995e-01
2.099999999999997008e-02 7.336124141729797321e-01
2.799999999999996242e-02 7.553990570707070917e-01
3.499999999999995476e-02 8.142123013652146080e-01
4.199999999999994016e-02 8.946154874270044743e-01
4.899999999999993250e-02 9.696199758680554837e-01
5.600000000000008443e-02 1.083937326676925439e+00
6.299999999999993106e-02 1.211381609132339054e+00
7.000000000000006217e-02 1.344092080555555180e+00
7.700000000000005451e-02 1.518181856465040891e+00
8.400000000000004685e-02 1.762795995663667625e+00
9.100000000000003919e-02 2.167079636888415539e+00
9.800000000000003153e-02 2.627298422508285825e+00
1.050000000000000239e-01 3.129301298254024477e+00
1.120000000000000162e-01 3.650029051167929417e+00
1.190000000000000085e-01 4.238307774068813316e+00
1.260000000000000009e-01 5.093181603422901382e+00
1.329999999999999793e-01 5.792241015812420457e+00
1.399999999999999856e-01 6.621232492949021164e+00
1.469999999999999640e-01 7.374299593525094565e+00
1.539999999999999702e-01 8.127367234852430400e+00
1.609999999999999210e-01 8.953268581137546533e+00
1.679999999999999272e-01 9.704610201262626745e+00
1.749999999999999334e-01 1.042509686720722861e+01
1.819999999999999118e-01 1.083912017206439238e+01
1.890000000000000013e-01 1.159945708746843351e+01
1.959999999999999798e-01 1.221164836388099673e+01
