# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.999999999999942921e-03 8.107907246376822030e+00 9.069911688311691478e+00
1.600000000000004891e-02 1.969063188405799636e+01 7.936172727272730043e+00
2.399999999999999009e-02 1.389926956521740919e+01 1.247112857142857578e+01
3.199999999999993128e-02 1.621581449275364406e+01 1.360486753246753722e+01
4.000000000000003553e-02 1.737408695652176149e+01 9.069911688311691478e+00
4.799999999999998018e-02 1.853235942028987893e+01 1.473860649350649865e+01
5.600000000000008443e-02 2.200717681159423122e+01 1.020365064935065291e+01
6.400000000000002909e-02 2.084890434782611379e+01 1.133738961038961435e+01
7.199999999999996680e-02 nan 1.020365064935065291e+01
7.999999999999991840e-02 2.084890434782611379e+01 1.700608441558442152e+01
8.800000000000002265e-02 1.389926956521740919e+01 1.360486753246753722e+01
9.599999999999996037e-02 2.200717681159423122e+01 1.247112857142857578e+01
1.040000000000000646e-01 1.969063188405799636e+01 1.247112857142857578e+01
1.120000000000000162e-01 2.200717681159423122e+01 2.607599610389611300e+01
1.199999999999999400e-01 2.200717681159423122e+01 nan
1.280000000000000582e-01 2.200717681159423122e+01 nan
1.360000000000000098e-01 2.084890434782611379e+01 nan
1.439999999999999336e-01 1.969063188405799636e+01 nan
1.520000000000000517e-01 1.853235942028987893e+01 nan
1.600000000000000033e-01 1.853235942028987893e+01 nan
1.679999999999999272e-01 1.737408695652176149e+01 nan
1.760000000000000453e-01 1.737408695652176149e+01 nan
1.839999999999999969e-01 1.737408695652176149e+01 nan
1.919999999999999207e-01 1.737408695652176149e+01 nan
2.000000000000000389e-01 1.737408695652176149e+01 nan
