# mu	p(mu)	err
-8.272761905838540315e+02 1.427669910938809618e-06 1.009515075320826624e-06
-7.996388001725617869e+02 2.141504866408214216e-06 1.236398411091676057e-06
-7.720014097612695423e+02 2.141504866408214216e-06 1.236398411091676057e-06
-7.167266289386850531e+02 1.427669910938797760e-06 1.009515075320818154e-06
-5.509022864709313581e+02 1.427669910938809618e-06 1.009515075320826624e-06
-5.232648960596391134e+02 4.283009732816428432e-06 1.748531401462393752e-06
-4.956275056483468688e+02 3.569174777347023834e-06 1.596183485145124252e-06
-4.679901152370546242e+02 4.283009732816428432e-06 1.748531401462393752e-06
-4.403527248257623796e+02 6.424514599224642648e-06 2.141504866408214216e-06
-4.127153344144701350e+02 4.996844688285791948e-06 1.888629769316895461e-06
-3.850779440031776630e+02 4.996844688285833453e-06 1.888629769316911343e-06
-3.574405535918854184e+02 7.852184510163451843e-06 2.367522709532070410e-06
-3.298031631805931738e+02 8.566019465632856864e-06 2.472796822183352113e-06
-3.021657727693009292e+02 1.499053406485749866e-05 3.271202717143978368e-06
-2.745283823580086846e+02 1.713203893126571373e-05 3.497062802924787503e-06
-2.468909919467164400e+02 2.569805839689836053e-05 4.283009732816393704e-06
-2.192536015354239680e+02 2.427038848595996045e-05 4.162337286201170208e-06
-1.916162111241319508e+02 5.639296148208251385e-05 6.344703866087833767e-06
-1.639788207128394788e+02 7.423883536881870494e-05 7.279716734846323006e-06
-1.363414303015474616e+02 1.377701464055939781e-04 9.916912136570019986e-06
-1.087040398902549896e+02 2.312825255720890225e-04 1.284902919844939033e-05
-8.106664947896297235e+01 4.525713617675989242e-04 1.797390491446138627e-05
-5.342925906767050037e+01 1.087884472135381905e-03 2.786700492917427931e-05
-2.579186865637848314e+01 3.091619192137966439e-03 4.697771650844838554e-05
1.845521754913988843e+00 8.491780630264109120e-03 7.785711173721116874e-05
2.948291216620600608e+01 1.283046948960697535e-02 9.570181616231258979e-05
5.712030257749847806e+01 6.825689844198392850e-03 6.980269340062235470e-05
8.475769298879095004e+01 1.889521127127529983e-03 3.672609739193086480e-05
1.123950834000829673e+02 4.796970900754360541e-04 1.850471699142678216e-05
1.400324738113754393e+02 1.734618941790667804e-04 1.112758569982517599e-05
1.676698642226674565e+02 7.923568005710327801e-05 7.520717927508640921e-06
1.953072546339599285e+02 3.497791281800111877e-05 4.996844688285874110e-06
2.229446450452519457e+02 2.641189335236775708e-05 4.342088519946357586e-06
2.505820354565444177e+02 1.641820397579644593e-05 3.423432181882731436e-06
2.782194258678364349e+02 1.784587388673497136e-05 3.569174777346994188e-06
3.058568162791289069e+02 9.279854421102338118e-06 2.573768534163513596e-06
3.334942066904209241e+02 3.569174777346994612e-06 1.596183485145111123e-06
3.611315971017133961e+02 4.283009732816392856e-06 1.748531401462379140e-06
3.887689875130058681e+02 2.855339821877642530e-06 1.427669910938821265e-06
4.164063779242978853e+02 4.996844688285791948e-06 1.888629769316895461e-06
4.440437683355903573e+02 1.427669910938821265e-06 1.009515075320834883e-06
5.545933299807593357e+02 2.141504866408232004e-06 1.236398411091686433e-06
6.098681108033438250e+02 1.427669910938797760e-06 1.009515075320818154e-06
6.927802820372207862e+02 1.427669910938821265e-06 1.009515075320834883e-06
