# mu	p(mu)	err
-7.867382431595189018e+02 6.398060512861573012e-07 4.524111975086297988e-07
-7.250678812932112578e+02 6.398060512861560307e-07 4.524111975086288988e-07
-6.017271575605958560e+02 6.398060512861573012e-07 4.524111975086297988e-07
-5.400567956942882120e+02 2.559224205144624123e-06 9.048223950172577976e-07
-4.783864338279804542e+02 2.559224205144629205e-06 9.048223950172595975e-07
-4.167160719616728102e+02 2.879127230787707591e-06 9.597090769292357930e-07
-3.550457100953651661e+02 6.078157487218482979e-06 1.394424960511077718e-06
-2.933753482290574084e+02 1.279612102572316932e-05 2.023244382822763142e-06
-2.317049863627498780e+02 3.007088441044933693e-05 3.101574907472977492e-06
-1.700346244964421203e+02 8.957284718006218861e-05 5.353001478457394295e-06
-1.083642626301345899e+02 3.506137161048135213e-04 1.059067460617561585e-05
-4.669390076382683219e+01 3.155843347968965030e-03 3.177363428175715123e-05
1.497646110248092555e+01 1.096659562207039952e-02 5.923045770973298297e-05
7.664682296878845591e+01 1.473793239137660563e-03 2.171338104424205129e-05
1.383171848350962136e+02 9.501119861599417770e-05 5.513108914871169717e-06
1.999875467014039714e+02 1.375583010265240744e-05 2.097744424392698923e-06
2.616579085677115017e+02 6.398060512861560942e-06 1.430649823091561624e-06
3.233282704340192595e+02 1.919418153858468198e-06 7.835991799980237586e-07
3.849986323003270172e+02 9.597090769292376988e-07 5.540882939088226332e-07
4.466689941666345476e+02 9.597090769292340989e-07 5.540882939088206215e-07
