# mu	p(mu)	err
-5.542675607477597168e+02 1.041177500581236543e-06 7.362236710798528000e-07
-5.163709766542273201e+02 1.041177500581238026e-06 7.362236710798538588e-07
-4.784743925606949801e+02 2.602943751453095382e-06 1.164071833971487497e-06
-4.405778084671626402e+02 5.205887502906190763e-06 1.646246175178999564e-06
-4.026812243736303003e+02 3.644121252034333619e-06 1.377348368606882210e-06
-3.647846402800979604e+02 8.329420004649904205e-06 2.082355001162476051e-06
-3.268880561865656205e+02 1.509707375842795211e-05 2.803456217055174270e-06
-2.889914720930332805e+02 2.238531626249661935e-05 3.413728726473939756e-06
-2.510948879995009406e+02 3.852356752150580673e-05 4.478273760363136225e-06
-2.131983039059686007e+02 6.767653753778047569e-05 5.935624996644355763e-06
-1.753017198124362608e+02 1.202560013171330026e-04 7.912263989569187674e-06
-1.374051357189039209e+02 2.628973188967622418e-04 1.169877714546352196e-05
-9.950855162537152410e+01 6.684359553731559047e-04 1.865422843907053115e-05
-6.161196753183924102e+01 1.903272471062506183e-03 3.147732893961890769e-05
-2.371538343830695794e+01 5.478676008058467120e-03 5.340540324988054383e-05
1.418120065522543882e+01 9.098329588829135242e-03 6.882214781871249707e-05
5.207778474875783559e+01 5.984688273340965474e-03 5.581721409294358678e-05
8.997436884229011866e+01 1.990210792361039698e-03 3.218821755254767003e-05
1.278709529358224017e+02 4.950799015263780125e-04 1.605406575387118177e-05
1.657675370293547985e+02 1.421207288293387875e-04 8.601537805047265668e-06
2.036641211228871953e+02 4.320886627412144339e-05 4.742789231572429250e-06
2.415607052164194783e+02 1.770001750988107418e-05 3.035527959942236359e-06
2.794572893099517614e+02 6.767653753778037743e-06 1.877009432602543135e-06
3.173538734034841582e+02 5.205887502906183140e-06 1.646246175178997023e-06
3.552504574970165550e+02 3.123532501743719371e-06 1.275176804045186681e-06
