# s	p(s)	error
1.000000000000000000e+00 1.359144013499498094e+00 4.306612606549001937e-02
1.804721766827170226e+00 1.958374050245740572e-01 1.216874425344018247e-02
2.424462017082328114e+00 7.542156710205720482e-02 6.515431042733305957e-03
3.257020655659783159e+00 4.524904115933842119e-02 4.354091015652749100e-03
4.375479375074184496e+00 2.214312164253049928e-02 2.627905062051054657e-03
5.878016072274911963e+00 2.182243569987876025e-02 2.250812382597133267e-03
7.896522868499724623e+00 1.987321271405702305e-02 1.853186641104071029e-03
1.060818355139448244e+01 1.016230449915414558e-02 1.143348583752442629e-03
1.425102670302997687e+01 5.841035144298067049e-03 7.478679154543173193e-04
1.914481976169957633e+01 3.278783098936408069e-03 4.834301939147996074e-04
2.571913809059344302e+01 2.387603691358194512e-03 3.559229438137566392e-04
3.455107294592217926e+01 1.263847221488567305e-03 2.234187351745855912e-04
4.641588833612777165e+01 7.937856356292874623e-04 1.527641168031424379e-04
6.235507341273912374e+01 3.501501574147081403e-04 8.753753935367703507e-05
8.376776400682915380e+01 2.280642697247386823e-04 6.095273996248379213e-05
1.125335582600764610e+02 1.455141855593190933e-04 4.200632710179101739e-05
1.511775070615661605e+02 6.318543775467728692e-05 2.388185068280393043e-05
2.030917620904734804e+02 1.343828434148268214e-05 9.502301985375402840e-06
2.728333376486766610e+02 1.500479122110926314e-05 8.663020250641566768e-06
3.665241237079625876e+02 1.116927101049055958e-05 6.448581624558608718e-06
4.923882631706736674e+02 8.314185320371436714e-06 4.800197132808883836e-06
2.154434690031882383e+03 1.266784673962034904e-06 8.957520332617445364e-07
