# r	c(r)	err
2.195565342507645124e+00 1.361389918220802242e-01 5.530012636093310091e-02
2.312406314087759540e+00 5.984137266156392548e-02 1.201423328330531760e-02
2.428268911705166122e+00 2.721080533891655912e-02 7.204693224839902634e-03
2.555566691297740611e+00 1.595817293269750914e-02 7.365695637359870838e-03
2.685675481552344923e+00 -2.117297427635681396e-03 9.544609569385872558e-03
2.815621983757683910e+00 1.715335053792330436e-02 1.481522127364899404e-02
2.946999920539743467e+00 1.625491813779044760e-03 2.737928390966967718e-02
3.082740147335332193e+00 -8.589480695301550742e-03 5.598925109558543223e-02
3.216005123077551264e+00 1.318995879149357509e-01 1.240347345892084674e-01
3.379960199999429094e+00 -5.807669918324336045e-02 1.825741858350553581e-01
3.524720088361987358e+00 2.286762361866285023e-02 4.642383454426296518e-02
3.647745710292278787e+00 3.754986117035678805e-02 2.058031446549147409e-02
3.778773723428578535e+00 2.823638186591678409e-02 1.195228609334393621e-02
3.909157442056954590e+00 1.466418626439105165e-02 8.156270422562056713e-03
4.039269896508232094e+00 2.043841436073385101e-02 6.712316486202688642e-03
4.169767726711852696e+00 1.818685047524407072e-02 6.591512432573124781e-03
4.302319560764447992e+00 5.807608190723170458e-03 7.265860975793920346e-03
4.437715487760504729e+00 1.156137075653050281e-02 8.363004946041485005e-03
4.574313804324260602e+00 1.535561250387436349e-02 8.803144340460587400e-03
4.712315518614326848e+00 7.759803687815540647e-03 7.943515891901169190e-03
4.845599460418760884e+00 1.533102533422431128e-02 6.874679099617556251e-03
4.977983496011298747e+00 -6.171715253224987346e-03 6.548969633428166660e-03
5.110126993157242836e+00 1.683354092281727802e-03 6.754136275408358439e-03
5.242783978495884512e+00 1.268350656790067331e-02 7.463933708620760013e-03
5.377010088036116464e+00 6.374107754816357371e-03 8.674361346549044893e-03
5.514285903476820572e+00 7.169145125069093134e-03 9.800154451651246074e-03
5.652204222900471642e+00 4.316788380757879441e-03 9.338456363079405270e-03
5.788464154216421242e+00 -3.528179953690477495e-03 7.906435413489298208e-03
5.921616478881461809e+00 -1.468904754590284051e-02 6.450807441656272560e-03
6.054379797379112027e+00 7.441563589405928575e-03 5.674312595119898606e-03
6.187432584694361637e+00 -9.454896804765617821e-03 5.252402210241568711e-03
6.321271462047675094e+00 -9.580844353345578310e-03 5.055407577827876302e-03
6.455000628406541985e+00 -4.151840850224000103e-03 5.042023927727544604e-03
6.588552594833391396e+00 3.208104789902282180e-04 5.165975691878862096e-03
6.722961956396364513e+00 7.155958912927848359e-03 5.370138700659522583e-03
6.857684421305862976e+00 -6.517251188371591709e-03 5.553584725491336575e-03
6.992553827766245789e+00 1.033930875249735931e-03 5.642877224050341783e-03
7.127974976348909308e+00 -3.802932614190152050e-03 5.524271728019902045e-03
7.261469768275871317e+00 -6.864170057533744429e-03 5.317870177047533467e-03
7.395669139463333153e+00 -9.555198637843137063e-06 5.195804315478696166e-03
7.529850450846217846e+00 -9.578126997449151660e-04 5.179122978386021918e-03
7.664349581698484570e+00 3.302612323529897660e-03 5.216334339520564863e-03
7.799242350197048701e+00 -2.963845677095036397e-03 5.142560771976399485e-03
7.933975670065036567e+00 -5.994387470338539275e-03 4.956511526291119442e-03
