# r	c(r)	err
2.196792405186385633e+00 1.802299388020454085e-01 4.025848411142372851e-02
2.312411293997271855e+00 4.274204323681142503e-02 1.168013904120272436e-02
2.430837668246763617e+00 2.831925391008077025e-02 8.170960045336879765e-03
2.559458959322559846e+00 1.085628780283254095e-02 8.793949030788471288e-03
2.689940810770672375e+00 1.037333004924755574e-02 1.161770120286425775e-02
2.820236910714281287e+00 2.025602896768922273e-02 1.889822365046136057e-02
2.950693043918920733e+00 1.958041461275370626e-02 3.355780276070121498e-02
3.087560665198178178e+00 7.121610640617975774e-02 6.637233115999720268e-02
3.218804057142863773e+00 5.740585875751743998e-03 1.195228609334393621e-01
3.391868373333321252e+00 1.612581692599633354e-01 1.154700538379251351e-01
3.522766754926141886e+00 3.258212347354592919e-02 3.509312031717982255e-02
3.648592380131953306e+00 6.487753730635950622e-02 1.914598952668708845e-02
3.780308630482951404e+00 3.905496575178771940e-02 1.215272283395108996e-02
3.911275208146881344e+00 3.171217644844628262e-03 8.783426904166521595e-03
4.041238902471445016e+00 1.769176761060246850e-02 7.598907051808849109e-03
4.172763861311236333e+00 1.124576548196871972e-02 7.780511042304592492e-03
4.305504496692674543e+00 7.129761066386151869e-03 8.621010001864527761e-03
4.440733136274796600e+00 8.732760306160084265e-03 9.647998163638796601e-03
4.578477439435562069e+00 1.023977218456925339e-02 9.731697594064279630e-03
4.713661769855574057e+00 2.086818405753200489e-02 8.672403914199502961e-03
4.847297718619430817e+00 2.303342000784204535e-02 7.781453220927846137e-03
4.978744836218684355e+00 2.354265237969465231e-03 7.546363905912276994e-03
5.111891793398506856e+00 4.886667333615116356e-03 8.021333028508423335e-03
5.245380133018766600e+00 2.468713240783678136e-03 9.098054998254423084e-03
5.380210487266192665e+00 1.134733372226393554e-02 1.027982165075341792e-02
5.517961234277079186e+00 2.295344545107496498e-02 1.077201017895119441e-02
5.654519143703028661e+00 1.626960791461126363e-02 9.694584179118516040e-03
5.788986628015419633e+00 1.699685993696355840e-02 8.163333305850110910e-03
5.921717314378621033e+00 1.164664506083425491e-02 7.019661528504837072e-03
6.055466612835116003e+00 7.079996365123164201e-03 6.311566856977497003e-03
6.188847234101259254e+00 9.729854080724228971e-03 5.985663547658249921e-03
6.321824422828867363e+00 1.387293131844235215e-02 5.826769774989276618e-03
6.455936987990224196e+00 1.035577541722743945e-02 5.857777504009851859e-03
6.589789849828639134e+00 3.736210490138510733e-03 6.006791513786342504e-03
6.724227622831878470e+00 6.896867088256698058e-03 6.229229971808293749e-03
6.858546594556437448e+00 1.236326633027619998e-02 6.354748556867944459e-03
6.993693250905298697e+00 1.512819032836746486e-02 6.343104306084612967e-03
7.128397310364544381e+00 4.529511463019248872e-04 6.192336276967383597e-03
7.262499109293859334e+00 1.530453784139815948e-02 6.001920922091795278e-03
7.395861221410715558e+00 6.602191574309036401e-03 5.910954252520966325e-03
7.530430544774087132e+00 -2.188158936783906033e-03 5.914364865915447064e-03
7.664845975852278670e+00 3.671604570842849306e-03 5.928691667287522803e-03
7.799510204430051274e+00 2.233272202714547960e-03 5.775813479538069277e-03
7.934001160921673623e+00 5.731444755247274911e-03 5.470119036555545766e-03
