# mu	p(mu)	err
-5.473313748740333722e+02 1.707227177050532237e-06 9.856680702379698282e-07
-5.126636945229876119e+02 1.138151451367017821e-06 8.047946092789292587e-07
-4.779960141719417379e+02 2.276302902734043265e-06 1.138151451367021633e-06
-4.086606534698501605e+02 2.845378628417549423e-06 1.272492006973351082e-06
-3.393252927677585831e+02 7.397984433885627906e-06 2.051831708573774426e-06
-3.046576124167127659e+02 1.308874169072072590e-05 2.729191304385038587e-06
-2.699899320656669488e+02 1.479596886777125581e-05 2.901728229972191712e-06
-2.353222517146211317e+02 2.276302902734039538e-05 3.599150908546143971e-06
-2.006545713635753145e+02 4.438790660331383859e-05 5.025940724068750644e-06
-1.659868910125295542e+02 1.018645548973482574e-04 7.613714303783416062e-06
-1.313192106614837371e+02 2.168178514854172576e-04 1.110791502376585919e-05
-9.665153031043791998e+01 5.201352132747288437e-04 1.720454370065837828e-05
-6.198384995939215969e+01 1.362936363012003842e-03 2.784984739350466055e-05
-2.731616960834628571e+01 3.503230167307691979e-03 4.464978443057694409e-05
7.351510742699474577e+00 7.137916827248276183e-03 6.373394070928657153e-05
4.201919109374523487e+01 7.993806718676249590e-03 6.744687805528432880e-05
7.668687144479110884e+01 4.792755761706527819e-03 5.222490749744770596e-05
1.113545517958368691e+02 2.051517991089049468e-03 3.416824680213743811e-05
1.460222321468827431e+02 6.794764164661118520e-04 1.966401624249949570e-05
1.806899124979285034e+02 2.213704572908856897e-04 1.122392772730212279e-05
2.153575928489742637e+02 9.219026756072843884e-05 7.243151483510364281e-06
2.500252732000201377e+02 3.016101346122606903e-05 4.142933818298014388e-06
2.846929535510658980e+02 1.365781741640425790e-05 2.787890305857306510e-06
3.193606339021116582e+02 6.259832982518597803e-06 1.887410659391414712e-06
3.540283142531575322e+02 4.552605805468086530e-06 1.609589218557864023e-06
3.886959946042032925e+02 2.276302902734043265e-06 1.138151451367021633e-06
4.233636749552490528e+02 1.138151451367017821e-06 8.047946092789292587e-07
4.926990356573408008e+02 1.138151451367021633e-06 8.047946092789320115e-07
