# r	c(r)	err
2.208250988980716478e+00 3.789999558867482733e-03 3.711348095126027619e-02
2.321003177311434129e+00 5.217744979801255262e-02 1.006870155550295028e-02
2.438978789973978323e+00 1.030809663350634037e-02 7.287243949533436793e-03
2.567481808476917315e+00 2.480557328316628299e-02 8.301685828478589171e-03
2.696722727236373185e+00 1.975219676509624989e-02 1.154623566040507976e-02
2.827037187387379191e+00 1.912221693048793414e-02 1.898315991504997968e-02
2.960772592731839570e+00 5.693353906354259308e-02 3.539961627023942986e-02
3.094595370370255338e+00 7.959096819353189689e-02 7.273929674533079204e-02
3.236965041667644982e+00 3.138935439522564513e-02 1.443375672974064605e-01
3.412832833333595772e+00 -2.766494721951081107e-02 1.020620726159657682e-01
3.527825287107247298e+00 7.127654937917021760e-02 3.291540093383166221e-02
3.656742765371663761e+00 2.722566648812224654e-02 1.749010995279633857e-02
3.787336487571701049e+00 3.826511978545439618e-02 1.093173673616565193e-02
3.917751727591817001e+00 6.908782175952104913e-03 7.917083149182806839e-03
4.047676691067963795e+00 1.707573597430541573e-02 6.967330142916176167e-03
4.178913086367831653e+00 2.879184313055470693e-02 7.161516007042794014e-03
4.310894788995558002e+00 5.296524947583770501e-03 7.998720307118102613e-03
4.446722586876276750e+00 1.877648324207360081e-02 8.956460991166247457e-03
4.584844446939106533e+00 5.529930760483316903e-04 8.986790140419647840e-03
4.719903458044093725e+00 -1.425696446887608684e-03 7.872307639167287069e-03
4.851832600627056458e+00 3.972911767447615851e-03 6.999342092763467457e-03
4.983829200400206716e+00 5.584029308566474357e-03 6.986177549517322803e-03
5.116044562281241603e+00 1.260152978606078264e-02 7.514337885441284802e-03
5.249855703854962918e+00 7.855574291093937733e-03 8.618448227793597261e-03
5.384508842650919114e+00 5.397961193123902018e-03 9.843263496228105147e-03
5.521398898710561554e+00 1.790791513020241824e-02 1.019771270560005175e-02
5.658577456440056608e+00 1.199052701024689097e-02 9.040246360918491320e-03
5.792913667552154422e+00 -1.750134624739372409e-03 7.439314876599522827e-03
5.925447984225352904e+00 1.025631235988716007e-02 6.384467353578114276e-03
6.058367963017007973e+00 -6.532705979338051389e-03 5.756641238231299980e-03
6.191490618703300974e+00 5.356212241348089903e-03 5.410149764486143174e-03
6.325075152816270752e+00 9.820105946926983853e-03 5.320202724867015807e-03
6.457932945797742796e+00 -8.828316456909384791e-04 5.343927184913783990e-03
6.591641871064635616e+00 -1.850207410753848232e-03 5.591480600625852240e-03
6.725701599925831609e+00 1.885551646955988632e-03 5.806304191442505057e-03
6.860726365465833254e+00 -1.339104614387205509e-02 5.984055780468383774e-03
6.995749934492359934e+00 8.234786546639673646e-03 5.873316205593588982e-03
7.129486686956496122e+00 -4.744443820368223104e-03 5.633467567945936449e-03
7.262846809256982006e+00 -2.954605962022536191e-03 5.518212565200630859e-03
7.396740559292435790e+00 8.262405551675530355e-03 5.489618654103702554e-03
7.530589655105422331e+00 4.376990281953265297e-03 5.549991224083315050e-03
7.665301824689852772e+00 -2.425478759941871593e-03 5.521660476037487490e-03
7.800134788309652123e+00 1.444143977160940433e-03 5.331987472574133309e-03
7.934686485132377953e+00 2.929236728202848274e-03 5.071766062111388203e-03
