# r	c(r)	err
2.247554050557620808e+00 5.721785587024724729e-02 2.726709415746059184e-02
2.354239467647295747e+00 4.565310686576856680e-02 8.965455410865547092e-03
2.473741895863052154e+00 6.010997478756599163e-03 7.407204194716329564e-03
2.602520031985882554e+00 1.065592296064265219e-02 8.758125562345233164e-03
2.732413545480543160e+00 2.167655880912768354e-02 1.195912183087349638e-02
2.862504569580573310e+00 1.308203141663976700e-02 1.979906906965800406e-02
2.993865360795429087e+00 5.447304375447391961e-03 3.768891807222045365e-02
3.122244993589470941e+00 1.329278304603885574e-02 8.006407690254356557e-02
3.272732074073886555e+00 1.496947890767067434e-02 1.924500897298752622e-01
3.438671111111207601e+00 9.415123582155299209e-02 8.908708063747479422e-02
3.557633656354522333e+00 4.920163749968659017e-02 2.891574659831201016e-02
3.684055385571465280e+00 1.684924013048359065e-02 1.643767757282370290e-02
3.813537883456954436e+00 8.238623302457673964e-03 1.060117000968696654e-02
3.944039614823817264e+00 1.339709998417292630e-02 7.996929768340299213e-03
4.073478605592127266e+00 7.556744620924794875e-03 7.143039365573419959e-03
4.204358279148935118e+00 8.168230319622556135e-03 7.293249574894727222e-03
4.336559785144139312e+00 6.217131973790848178e-03 8.022881797570999632e-03
4.469938216086717375e+00 1.589498428056794477e-02 8.862754938735284416e-03
4.606995904720625035e+00 2.633432668082439851e-02 8.877410474846124736e-03
4.741629570438957053e+00 5.850964202849326043e-03 7.829722923535852724e-03
4.872288056103302623e+00 1.182391273113899853e-03 7.074428964086748595e-03
5.004044532534697609e+00 1.392893928630644686e-02 7.050475244487931260e-03
5.135487886593737450e+00 6.788760925768369536e-03 7.606597476863587344e-03
5.268085065254232369e+00 -1.730523252901462446e-03 8.577136892638944493e-03
5.402423827231044307e+00 1.336162973978453558e-02 9.676865543833981093e-03
5.538120720779835082e+00 4.801699814195961938e-03 9.973604874406686444e-03
5.673273723853777817e+00 9.377334556109053962e-03 9.032130243390079985e-03
5.807285043365848942e+00 1.940892958305306601e-02 7.665592707186695207e-03
5.939578811592328478e+00 1.082040630800181966e-02 6.574396037977712701e-03
6.071639872582661468e+00 3.559072012057331626e-03 5.945958975819191396e-03
6.203685481019251213e+00 3.681656887230866631e-03 5.544187934834174381e-03
6.336267927185889270e+00 6.634693070313302590e-03 5.413081687180258152e-03
6.468647702543152356e+00 1.293868860907602426e-02 5.391246868676277323e-03
6.601438313992275653e+00 4.553292031781686240e-03 5.529082746242476067e-03
6.734758034224947565e+00 1.111273955065195801e-02 5.739359406157016306e-03
6.867710906074887767e+00 1.388567949078377273e-02 5.900244127651276503e-03
7.002007036787897931e+00 6.322803706469563509e-03 5.858079029065378120e-03
7.135281881921962110e+00 5.273558575388137548e-03 5.693963157945525384e-03
7.268420015805041601e+00 7.178004045225500410e-03 5.577807881494735442e-03
7.401035741659812928e+00 1.515785794049034170e-03 5.545040218114614256e-03
7.533784715800420528e+00 3.853158864551411121e-03 5.584152770928901659e-03
7.667487224681672764e+00 8.139906761874161553e-03 5.579630907348032132e-03
7.801131275689060729e+00 3.091524417799855484e-03 5.430053259581076909e-03
7.934585117203971194e+00 -7.146651900388504598e-03 5.168182961215302129e-03
