# mu	p(mu)	err
-1.170485311756517831e+03 1.583832757572106710e-06 1.119938883144625773e-06
-9.462737372289159339e+02 1.583832757572106710e-06 1.119938883144625773e-06
-8.217117513802481881e+02 1.583832757572106710e-06 1.119938883144625773e-06
-7.967993542105145934e+02 1.583832757572121321e-06 1.119938883144636150e-06
-7.718869570407812262e+02 1.583832757572106710e-06 1.119938883144625773e-06
-7.469745598710476315e+02 1.583832757572106710e-06 1.119938883144625773e-06
-6.473249711921134804e+02 2.375749136358160170e-06 1.371639403403404759e-06
-6.224125740223798857e+02 1.583832757572106710e-06 1.119938883144625773e-06
-5.725877796829129238e+02 2.375749136358160170e-06 1.371639403403404759e-06
-5.476753825131793292e+02 3.959581893930267091e-06 1.770778855461087792e-06
-5.227629853434457345e+02 1.583832757572106710e-06 1.119938883144625773e-06
-4.978505881737121399e+02 1.583832757572121321e-06 1.119938883144636150e-06
-4.729381910039787726e+02 3.167665515144213419e-06 1.583832757572106710e-06
-4.480257938342451780e+02 3.167665515144213419e-06 1.583832757572106710e-06
-4.231133966645115834e+02 9.502996545432640681e-06 2.743278806806809518e-06
-3.982009994947779887e+02 7.919163787860534183e-06 2.504259473356576889e-06
-3.732886023250443941e+02 6.335331030288485283e-06 2.239877766289272299e-06
-3.483762051553110268e+02 1.108682930300474548e-05 2.963079768392106731e-06
-3.234638079855774322e+02 1.029491292421869393e-05 2.855295109592878538e-06
-2.985514108158438376e+02 1.663024395450711992e-05 3.629016749862410817e-06
-2.736390136461102429e+02 2.138174222722363593e-05 4.114918210210251334e-06
-2.487266164763768757e+02 2.217365860600949097e-05 4.190427594853446340e-06
-2.238142193066432810e+02 3.009282239387003023e-05 4.881700414569231774e-06
-1.989018221369096864e+02 4.355540083323293716e-05 5.873009050259405468e-06
-1.739894249671760917e+02 6.889672495438726454e-05 7.386504243287048203e-06
-1.490770277974427245e+02 9.978146372704271275e-05 8.889239305176321041e-06
-1.241646306277091298e+02 1.607590248935688248e-04 1.128307160532503432e-05
-9.925223345797553520e+01 2.866737291205512998e-04 1.506723668952741346e-05
-7.433983628824194057e+01 5.448384686048096497e-04 2.077177188110979820e-05
-4.942743911850857330e+01 1.222718888845666365e-03 3.111737641138737071e-05
-2.451504194877497866e+01 3.065508302280813002e-03 4.927094715834884342e-05
3.973552209586159734e-01 7.817798491375918188e-03 7.868317908784244795e-05
2.530975239069221061e+01 1.286230582424319722e-02 1.009250744422491317e-04
5.022214956042557787e+01 8.958158076827834812e-03 8.422655225517980838e-05
7.513454673015917251e+01 3.199342170295656033e-03 5.033499246049460816e-05
1.000469438998927671e+02 9.360451597251151197e-04 2.722626476896392497e-05
1.249593410696263618e+02 3.310210463325702953e-04 1.619076861404854592e-05
1.498717382393599564e+02 1.393772826663453989e-04 1.050595797508120801e-05
1.747841354090935511e+02 7.444013960588900878e-05 7.677914156398460288e-06
1.996965325788271457e+02 3.484432066658698670e-05 5.252978987540699719e-06
2.246089297485602856e+02 3.246857153022818829e-05 5.070738959025031496e-06
2.495213269182938802e+02 1.821407671207922981e-05 3.797897533209811688e-06
2.744337240880274749e+02 1.583832757572106837e-05 3.541557710922175584e-06
2.993461212577610695e+02 1.108682930300474548e-05 2.963079768392106731e-06
3.242585184274946641e+02 7.919163787860534183e-06 2.504259473356576889e-06
3.491709155972282588e+02 6.335331030288426838e-06 2.239877766289251547e-06
3.740833127669618534e+02 5.543414651502372742e-06 2.095213797426723170e-06
3.989957099366954481e+02 3.959581893930267091e-06 1.770778855461087792e-06
4.239081071064290427e+02 3.959581893930339089e-06 1.770778855461119979e-06
4.986452986156293719e+02 1.583832757572106710e-06 1.119938883144625773e-06
5.235576957853629665e+02 3.167665515144213419e-06 1.583832757572106710e-06
5.484700929550965611e+02 2.375749136358160170e-06 1.371639403403404759e-06
6.232072844642973450e+02 4.751498272716407585e-06 1.939791046978471672e-06
6.730320788037640796e+02 1.583832757572106710e-06 1.119938883144625773e-06
