# r	g(r)	err
2.010101010101010388e+00 0.000000000000000000e+00 nan
2.030303030303030276e+00 0.000000000000000000e+00 nan
2.050505050505050164e+00 0.000000000000000000e+00 nan
2.070707070707070940e+00 1.122248126574346225e-03 5.611240632871731127e-04
2.090909090909090828e+00 4.402667742004427384e-03 1.100666935501106846e-03
2.111111111111111160e+00 5.398511654871328974e-03 1.207143903761717521e-03
2.131313131313131493e+00 1.800862778975938563e-02 2.183866898517983993e-03
2.151515151515151381e+00 3.274522343136366392e-02 2.917176360322023577e-03
2.171717171717171713e+00 5.356473920524745108e-02 3.696318172069641174e-03
2.191919191919192045e+00 9.915447927136707140e-02 4.982700061002980074e-03
2.212121212121211933e+00 1.996201692294832242e-01 7.005294616506052389e-03
2.232323232323232265e+00 3.799765546127106819e-01 9.577550189565077823e-03
2.252525252525252597e+00 6.055469021308429456e-01 1.198222140785996058e-02
2.272727272727272485e+00 9.064511728645171518e-01 1.452974523538541791e-02
2.292929292929293261e+00 1.304246743872068848e+00 1.727517013855280059e-02
2.313131313131313149e+00 1.852198136018981200e+00 2.040687710186846193e-02
2.333333333333333037e+00 2.379291795167264745e+00 2.292873967609889221e-02
2.353535353535353813e+00 2.931963411143938547e+00 2.523432325122213979e-02
2.373737373737373701e+00 3.484771199953830223e+00 2.727643337968081727e-02
2.393939393939394034e+00 3.951407701859819266e+00 2.880022528251624178e-02
2.414141414141414366e+00 4.395809427578010187e+00 3.012241843219671047e-02
2.434343434343434254e+00 4.738090878687335916e+00 3.101365565299102345e-02
2.454545454545454586e+00 4.895236578362198721e+00 3.126431221164461399e-02
2.474747474747474918e+00 4.991640477801412068e+00 3.131294206504947608e-02
2.494949494949494806e+00 5.047186738406207240e+00 3.123173013026952008e-02
2.515151515151515138e+00 4.996859967164976268e+00 3.082602684451934624e-02
2.535353535353535470e+00 4.968450711822148591e+00 3.049334598411827801e-02
2.555555555555555358e+00 4.776003050821255869e+00 2.966061054947740500e-02
2.575757575757575690e+00 4.596573645190017210e+00 2.886989742523187602e-02
2.595959595959596022e+00 4.370717571735457163e+00 2.793261263086154259e-02
2.616161616161615910e+00 4.138958947482030304e+00 2.697205926537709145e-02
2.636363636363636687e+00 3.973996579038869825e+00 2.622657309549425442e-02
2.656565656565656575e+00 3.725937318800956355e+00 2.520172879776840999e-02
2.676767676767676907e+00 3.403958950608838574e+00 2.390642263863904105e-02
2.696969696969697239e+00 3.166592302403831383e+00 2.288511633240812929e-02
2.717171717171717127e+00 2.975640070124851988e+00 2.201943793736984081e-02
2.737373737373737459e+00 2.734410333153466155e+00 2.095225940432449835e-02
2.757575757575757791e+00 2.472693594528486472e+00 1.977838446783586335e-02
2.777777777777777679e+00 2.290615271779713691e+00 1.889781930317249031e-02
