# r	g(r)	err
2.010101010101010388e+00 1.174177418962306027e-03 5.870887094811530135e-04
2.030303030303030276e+00 0.000000000000000000e+00 nan
2.050505050505050164e+00 3.949261081053705331e-03 1.055484421158817002e-03
2.070707070707070940e+00 1.327741105579810683e-02 1.916429211801587646e-03
2.090909090909090828e+00 2.712933788905592947e-02 2.712933788905593033e-03
2.111111111111111160e+00 5.162844482644228516e-02 3.706706317988998998e-03
2.131313131313131493e+00 1.007864804686212784e-01 5.129896787448562194e-03
2.151515151515151381e+00 1.404110338702793670e-01 5.998062100750033501e-03
2.171717171717171713e+00 2.363909354798633400e-01 7.710222171443991898e-03
2.191919191919192045e+00 3.658546855585145252e-01 9.503520583012412329e-03
2.212121212121211933e+00 5.361382327825618965e-01 1.139945837700077381e-02
2.232323232323232265e+00 7.530638720531133146e-01 1.338793439699866548e-02
2.252525252525252597e+00 1.010778148882155891e+00 1.537138506390974164e-02
2.272727272727272485e+00 1.346048360564586766e+00 1.758076449634996333e-02
2.292929292929293261e+00 1.661727800688405532e+00 1.936172415224956395e-02
2.313131313131313149e+00 2.151982268132337506e+00 2.184106466550344086e-02
2.333333333333333037e+00 2.516593705300245620e+00 2.341447992775241502e-02
2.353535353535353813e+00 2.993472100965210991e+00 2.531754725091603028e-02
2.373737373737373701e+00 3.364991485258778781e+00 2.661423977931094004e-02
2.393939393939394034e+00 3.716974022286048562e+00 2.773552300229773990e-02
2.414141414141414366e+00 4.029482499312251775e+00 2.863628517985892380e-02
2.434343434343434254e+00 4.267101768757066260e+00 2.922398259594008105e-02
2.454545454545454586e+00 4.489691065376423040e+00 2.972979388892151367e-02
2.474747474747474918e+00 4.584401742816409886e+00 2.979649585219789482e-02
2.494949494949494806e+00 4.641933536151901407e+00 2.974010164067570489e-02
2.515151515151515138e+00 4.601037254329475523e+00 2.937098223107151296e-02
2.535353535353535470e+00 4.652000374602952348e+00 2.929787297995694109e-02
2.555555555555555358e+00 4.430911442247281506e+00 2.836716642882809031e-02
