# gamma	d2min
0.000000000000000000e+00 4.522914685077554786e+00
8.000000000000067821e-03 4.692890059744509124e+00
1.599999999999997605e-02 4.615407176362094077e+00
2.400000000000004213e-02 4.562211225117020597e+00
3.199999999999995209e-02 4.602567860402763777e+00
4.000000000000001471e-02 4.533660301595967113e+00
4.799999999999991773e-02 4.518424883771056777e+00
5.599999999999998729e-02 4.507721608507576860e+00
6.400000000000004297e-02 4.552527729598331518e+00
7.199999999999995293e-02 4.530148814628739196e+00
8.000000000000002942e-02 4.560536649520542163e+00
8.800000000000009204e-02 4.553501194060828539e+00
9.600000000000000200e-02 4.562176962238186917e+00
1.040000000000000646e-01 4.451522144627777067e+00
1.119999999999999746e-01 4.621980702027076227e+00
1.200000000000000372e-01 4.509741143694194321e+00
1.279999999999999472e-01 4.494675576993088839e+00
1.360000000000000098e-01 4.475784771494329739e+00
1.440000000000000724e-01 4.534130358536514471e+00
1.519999999999999962e-01 4.557860571683668205e+00
1.600000000000000588e-01 4.536952290114293795e+00
1.679999999999999549e-01 4.579725313673707277e+00
1.760000000000000175e-01 4.555325078432026054e+00
1.840000000000000246e-01 4.583941105672110439e+00
1.920000000000000040e-01 4.520223869925188431e+00
2.000000000000000666e-01 4.549339695354771784e+00
