# r	g(r)	err
2.010101010101010388e+00 5.691842898604541380e-04 4.024740711051765386e-04
2.030303030303030276e+00 5.579135928012636395e-04 3.945044847859237010e-04
2.050505050505050164e+00 2.734871880264488735e-03 8.648424250383082582e-04
2.070707070707070940e+00 2.681768835545966356e-03 8.480497678382776855e-04
2.090909090909090828e+00 8.416632196882581698e-03 1.487864425292175592e-03
2.111111111111111160e+00 1.909273783389259585e-02 2.219485690344797160e-03
2.131313131313131493e+00 3.442730756874153725e-02 2.952117269152579760e-03
2.151515151515151381e+00 8.843411882942023294e-02 4.686998923970798689e-03
2.171717171717171713e+00 1.297071073811830455e-01 5.623516296417969441e-03
2.191919191919192045e+00 2.149245027751909842e-01 7.172123550836717251e-03
2.212121212121211933e+00 3.726868034605562707e-01 9.358202175937945996e-03
2.232323232323232265e+00 5.953388446380166732e-01 1.172072205779890741e-02
2.252525252525252597e+00 9.083370909082980615e-01 1.434772988921904219e-02
2.272727272727272485e+00 1.262254955514776178e+00 1.676314705672636574e-02
2.292929292929293261e+00 1.705534772219841733e+00 1.931385482917709340e-02
2.313131313131313149e+00 2.219168186057660197e+00 2.183856800012740768e-02
2.333333333333333037e+00 2.836911482047227206e+00 2.447797255359153087e-02
2.353535353535353813e+00 3.399993497337823634e+00 2.656731426393435166e-02
2.373737373737373701e+00 3.843579808602032077e+00 2.800687288134019737e-02
2.393939393939394034e+00 4.318321740860649349e+00 2.943565358157436418e-02
2.414141414141414366e+00 4.540726757080996379e+00 2.993155736785594809e-02
2.434343434343434254e+00 4.945733776068981236e+00 3.097867623618068278e-02
2.454545454545454586e+00 5.000168643925277046e+00 3.089232416525550598e-02
2.474747474747474918e+00 4.950785188762658606e+00 3.048845997743740086e-02
2.494949494949494806e+00 5.009851355883196078e+00 3.042145612757552256e-02
2.515151515151515138e+00 4.870436893596027161e+00 2.975425934026689617e-02
2.535353535353535470e+00 4.662541235249257454e+00 2.888033005664004255e-02
2.555555555555555358e+00 4.557423742384504983e+00 2.832720431108003839e-02
2.575757575757575690e+00 4.355531805361443354e+00 2.747545828732420384e-02
2.595959595959596022e+00 4.165832034325400279e+00 2.666135914624410963e-02
2.616161616161615910e+00 3.857795890752848678e+00 2.545859251220050634e-02
2.636363636363636687e+00 3.548418607787312329e+00 2.422933237190288275e-02
2.656565656565656575e+00 3.287074756930112862e+00 2.314267588016512972e-02
2.676767676767676907e+00 3.072987068122479126e+00 2.220746688815426750e-02
2.696969696969697239e+00 2.781765344137192120e+00 2.097072840299950974e-02
2.717171717171717127e+00 2.548983642771611713e+00 1.992488278196230880e-02
2.737373737373737459e+00 2.349140181892873880e+00 1.898670954684440054e-02
2.757575757575757791e+00 2.133838562993335852e+00 1.796315691159047073e-02
2.777777777777777679e+00 1.916630576490618187e+00 1.690055797499496332e-02
2.797979797979798011e+00 1.771694543856023207e+00 1.613166466720864986e-02
2.818181818181818343e+00 1.572644113229152651e+00 1.508952449489631316e-02
2.838383838383838231e+00 1.412459840003996048e+00 1.419862421611929777e-02
2.858585858585858563e+00 1.324457750719408189e+00 1.365202735793484036e-02
2.878787878787878896e+00 1.160799472127315601e+00 1.269107094278341431e-02
2.898989898989898784e+00 1.025913404536921592e+00 1.184780741847642552e-02
2.919191919191919560e+00 9.394364249168586367e-01 1.125901468732809496e-02
2.939393939393939448e+00 8.200961587649581164e-01 1.044729674849091162e-02
2.959595959595959780e+00 7.330595072655087252e-01 9.809943945483571431e-03
2.979797979797980112e+00 7.213403478287541137e-01 9.665239660918896816e-03
3.000000000000000000e+00 5.984571354509510277e-01 8.744291085917227715e-03
3.020202020202020332e+00 5.665258787936418017e-01 8.450904989193975397e-03
3.040404040404040664e+00 5.231971129788013375e-01 8.067346388562709331e-03
3.060606060606060552e+00 4.762944602572937169e-01 7.646446733442123327e-03
3.080808080808080884e+00 4.431727864315515575e-01 7.327422497542499490e-03
3.101010101010101216e+00 4.094360387001634849e-01 6.997117851803929221e-03
3.121212121212121104e+00 3.810181191996402927e-01 6.706236512796213446e-03
3.141414141414141437e+00 3.712393940404133397e-01 6.577050392596876099e-03
3.161616161616161769e+00 3.393613685714530481e-01 6.248149244042349414e-03
3.181818181818181657e+00 3.268878236665879733e-01 6.093311056576902578e-03
3.202020202020201989e+00 3.212059273540172066e-01 6.002014552608035680e-03
3.222222222222222321e+00 2.899461442513132092e-01 5.666729950274376239e-03
3.242424242424242653e+00 3.086569115746139458e-01 5.810285884821150479e-03
3.262626262626262985e+00 2.972846234351240180e-01 5.666935006965394088e-03
3.282828282828282873e+00 2.938503928561024825e-01 5.599436290932439768e-03
3.303030303030303205e+00 2.955367993902021095e-01 5.581135429253937172e-03
3.323232323232323537e+00 2.896639118661552548e-01 5.491814110815402238e-03
3.343434343434343425e+00 3.141536477837953978e-01 5.684700523729244864e-03
3.363636363636363757e+00 3.114077062662141127e-01 5.625808892288623568e-03
3.383838383838384090e+00 3.095081447424289367e-01 5.575139835574563323e-03
3.404040404040403978e+00 3.252956151403108009e-01 5.681640288916553830e-03
3.424242424242424310e+00 3.289218494814261651e-01 5.679514261795193253e-03
3.444444444444444642e+00 3.376746435215953190e-01 5.720834405126845428e-03
3.464646464646464530e+00 3.588464008071186595e-01 5.863064989041964076e-03
3.484848484848484862e+00 3.499635667463776856e-01 5.756478047873636247e-03
3.505050505050505194e+00 3.695279188590208652e-01 5.881101626093834453e-03
3.525252525252525526e+00 3.756680334103218444e-01 5.895779389733688328e-03
3.545454545454545414e+00 3.869503075279059900e-01 5.949562244181128695e-03
3.565656565656565746e+00 4.173085099294288614e-01 6.143536544907417588e-03
3.585858585858586078e+00 4.231721632255447396e-01 6.151693987142988623e-03
3.606060606060606410e+00 4.426734494432903455e-01 6.256595127487243196e-03
3.626262626262626299e+00 4.569930232928200997e-01 6.321568776080963882e-03
3.646464646464646631e+00 4.995073033299468612e-01 6.572464517499300440e-03
3.666666666666666963e+00 5.029133192520677254e-01 6.558499272003681484e-03
3.686868686868686851e+00 5.447900915151030476e-01 6.788694518307149435e-03
3.707070707070707183e+00 5.661466301875439644e-01 6.882764815356146731e-03
3.727272727272727515e+00 5.898236025339678168e-01 6.987136672559077569e-03
3.747474747474747403e+00 6.406341478885809737e-01 7.242619396037945981e-03
3.767676767676767735e+00 6.661844630672610901e-01 7.346034250939716473e-03
3.787878787878788067e+00 7.159990966710481075e-01 7.575119708487333854e-03
3.808080808080808399e+00 7.739201940933065904e-01 7.833778182802902598e-03
3.828282828282828287e+00 8.233636724773703008e-01 8.037503438047237034e-03
3.848484848484848619e+00 9.012318049082149729e-01 8.364843307834334690e-03
3.868686868686868952e+00 9.582252616310382720e-01 8.580242550278293495e-03
3.888888888888889284e+00 1.039536283629979296e+00 8.890447619677818714e-03
3.909090909090909172e+00 1.106477598471244717e+00 9.124832029692168250e-03
3.929292929292929504e+00 1.179140727782916009e+00 9.371254872349981183e-03
3.949494949494949836e+00 1.248051495518056386e+00 9.591886385578011348e-03
3.969696969696969724e+00 1.344689967020221255e+00 9.905651914024048849e-03
3.989898989898990056e+00 1.437867508897219038e+00 1.019123627200588418e-02
