# r	g(r)	err
2.010101010101010388e+00 0.000000000000000000e+00 nan
2.030303030303030276e+00 0.000000000000000000e+00 nan
2.050505050505050164e+00 0.000000000000000000e+00 nan
2.070707070707070940e+00 5.318932632497213632e-04 3.761053333113194134e-04
2.090909090909090828e+00 2.086659141456701644e-03 7.377454144744665125e-04
2.111111111111111160e+00 7.675928111101924800e-03 1.401426325412848464e-03
2.131313131313131493e+00 1.204976405097974226e-02 1.739233629626157603e-03
2.151515151515151381e+00 2.906866029438831892e-02 2.675987084332268930e-03
2.171717171717171713e+00 7.205125676197648987e-02 4.173817238315538115e-03
2.191919191919192045e+00 1.281670854080311228e-01 5.515433192413868833e-03
2.212121212121211933e+00 2.498093974688868346e-01 7.629768820939325513e-03
2.232323232323232265e+00 4.814635395722685063e-01 1.049640396364359858e-02
2.252525252525252597e+00 7.740261492540722044e-01 1.318937029913316156e-02
2.272727272727272485e+00 1.208045435373003684e+00 1.633090394306161916e-02
2.292929292929293261e+00 1.647538066833979409e+00 1.890353300279508028e-02
2.313131313131313149e+00 2.346063011611807081e+00 2.236070344881284366e-02
2.333333333333333037e+00 2.941920418421928307e+00 2.482301835749365151e-02
2.353535353535353813e+00 3.471358435517587271e+00 2.673282876950429723e-02
2.373737373737373701e+00 4.125708231011189220e+00 2.889565221847474955e-02
2.393939393939394034e+00 4.639773949162400157e+00 3.038443556882386432e-02
2.414141414141414366e+00 4.942421276261240948e+00 3.109732893140891921e-02
2.434343434343434254e+00 5.104728397296095288e+00 3.134154384692510592e-02
2.454545454545454586e+00 5.287164195128916333e+00 3.163415464850490716e-02
2.474747474747474918e+00 5.305837557704538021e+00 3.143127500969125632e-02
2.494949494949494806e+00 5.233450814128824291e+00 3.096337041527608830e-02
2.515151515151515138e+00 5.137098630918903730e+00 3.043061384919558757e-02
2.535353535353535470e+00 4.916121905383907809e+00 2.953171771022485015e-02
2.555555555555555358e+00 4.710891688591575921e+00 2.868019808346500624e-02
2.575757575757575690e+00 4.404217730718140267e+00 2.751346690068236581e-02
2.595959595959596022e+00 4.009353541392904674e+00 2.604684715677633294e-02
2.616161616161615910e+00 3.748739015008458964e+00 2.499159343338972633e-02
2.636363636363636687e+00 3.525143274042235042e+00 2.404910880465063044e-02
2.656565656565656575e+00 3.190258405340869352e+00 2.270430908384753546e-02
2.676767676767676907e+00 2.916608590073068719e+00 2.154489140657875335e-02
2.696969696969697239e+00 2.604050042684250332e+00 2.020526308961108700e-02
2.717171717171717127e+00 2.378274456872451648e+00 1.916592630210686016e-02
2.737373737373737459e+00 2.184117809517668540e+00 1.823139276425693109e-02
2.757575757575757791e+00 1.964782662537315483e+00 1.716507556605742155e-02
2.777777777777777679e+00 1.779653493296750710e+00 1.621758339922104233e-02
