# gamma	d2min
0.000000000000000000e+00 4.637799792369865060e+00
8.000000000000010575e-03 4.667604637695265346e+00
1.600000000000002115e-02 4.644319417693367313e+00
2.400000000000003519e-02 4.684834725329719340e+00
3.200000000000004230e-02 4.758784816230128278e+00
4.000000000000005634e-02 4.650389852826446457e+00
4.800000000000007039e-02 4.747694048854032012e+00
5.600000000000008443e-02 4.672787576147711341e+00
6.399999999999993194e-02 4.640804413255144034e+00
7.199999999999993905e-02 4.682347965861071160e+00
7.999999999999996003e-02 4.683780246720746554e+00
8.799999999999996714e-02 4.610325540037933933e+00
9.599999999999997424e-02 4.618093166598758792e+00
1.039999999999999952e-01 4.574564332501048547e+00
1.120000000000000023e-01 4.629886802867551054e+00
1.200000000000000094e-01 4.598049558531191572e+00
1.280000000000000304e-01 4.605998286702496891e+00
1.360000000000000375e-01 4.601809553368456207e+00
1.440000000000000446e-01 4.647623424440893380e+00
1.520000000000000795e-01 4.609331935969404270e+00
1.600000000000000588e-01 4.618401035119220843e+00
1.680000000000000937e-01 4.640576231771506244e+00
1.760000000000001008e-01 4.648764091777639607e+00
1.840000000000000246e-01 4.642286829465710696e+00
1.919999999999999485e-01 4.712967455225837377e+00
1.999999999999999556e-01 4.632273938561109361e+00
