# r	g(r)	err
2.010101010101010388e+00 0.000000000000000000e+00 nan
2.030303030303030276e+00 0.000000000000000000e+00 nan
2.050505050505050164e+00 0.000000000000000000e+00 nan
2.070707070707070940e+00 0.000000000000000000e+00 nan
2.090909090909090828e+00 0.000000000000000000e+00 nan
2.111111111111111160e+00 5.247638823675099262e-04 3.710640997438459919e-04
2.131313131313131493e+00 3.089177396603203646e-03 8.917687007516834907e-04
2.151515151515151381e+00 1.061002962506556006e-02 1.637163114344653827e-03
2.171717171717171713e+00 2.578593790321580953e-02 2.528519241245946736e-03
2.191919191919192045e+00 7.350451024655388355e-02 4.229709267240865621e-03
2.212121212121211933e+00 1.491155288141803870e-01 5.969398583170994893e-03
2.232323232323232265e+00 3.266489006655036720e-01 8.755109522361803620e-03
2.252525252525252597e+00 6.079831989618124100e-01 1.183734165256219995e-02
2.272727272727272485e+00 9.807310487224855100e-01 1.490066671006713174e-02
2.292929292929293261e+00 1.455074863815889907e+00 1.798995464843225131e-02
2.313131313131313149e+00 2.100288410882047430e+00 2.142482297304143524e-02
2.333333333333333037e+00 2.653015798725916419e+00 2.387103198635053686e-02
2.353535353535353813e+00 3.338960852846020622e+00 2.654990669142945695e-02
2.373737373737373701e+00 3.951876366105279814e+00 2.863828909701549366e-02
2.393939393939394034e+00 4.403330275811413230e+00 2.997474803609695773e-02
2.414141414141414366e+00 4.737254294829079448e+00 3.083036771837148471e-02
2.434343434343434254e+00 4.979417331403323210e+00 3.134624164635214927e-02
2.454545454545454586e+00 5.148171251235580392e+00 3.161065358386019181e-02
2.474747474747474918e+00 5.234016259273610139e+00 3.161292680982434600e-02
2.494949494949494806e+00 5.109396144344426460e+00 3.098140372880472254e-02
2.515151515151515138e+00 4.960360428731673821e+00 3.028102184664812138e-02
2.535353535353535470e+00 4.844878075206382029e+00 2.968800135218190375e-02
2.555555555555555358e+00 4.661149217647031051e+00 2.888944764977426083e-02
2.575757575757575690e+00 4.422638385757664103e+00 2.791989570051565256e-02
2.595959595959596022e+00 4.134389640701100710e+00 2.678464132438980114e-02
2.616161616161615910e+00 3.870884570272287384e+00 2.571689921446791705e-02
2.636363636363636687e+00 3.630418462014731507e+00 2.471445811948620036e-02
2.656565656565656575e+00 3.316925376357375388e+00 2.344365699007759651e-02
2.676767676767676907e+00 3.049004974182113248e+00 2.230727129113349930e-02
2.696969696969697239e+00 2.823114559878856955e+00 2.130424981692522965e-02
2.717171717171717127e+00 2.615934269028219905e+00 2.035515389018729970e-02
2.737373737373737459e+00 2.402991566164777382e+00 1.936511537960333013e-02
2.757575757575757791e+00 2.187681142633470799e+00 1.834182819277459242e-02
2.777777777777777679e+00 1.948956266668696813e+00 1.718626917976606022e-02
2.797979797979798011e+00 1.762281843220373068e+00 1.622449435993246133e-02
