# gamma	percentage
0.000000000000000000e+00 1.138139204545454497e+01
8.000000960995156882e-03 1.132417929292929237e+01
1.600000192199031376e-02 1.138928345959596022e+01
2.400000173894361460e-02 1.124329229797979757e+01
3.200000384398062753e-02 1.125315656565656575e+01
4.000000594901764045e-02 1.120383522727272663e+01
4.800000462192909045e-02 1.113675820707070763e+01
5.600000901504980505e-02 1.101444128787878718e+01
6.400000768796125505e-02 1.098682133838383912e+01
7.200000636087269812e-02 1.096709280303030276e+01
8.000001189803528090e-02 1.060014204545454497e+01
8.800000942690486272e-02 1.073429608585858652e+01
9.600000809981633354e-02 1.065340909090909172e+01
1.040000067727277766e-01 1.059422348484848442e+01
1.120000168860577627e-01 1.041863952020202078e+01
1.200000155589692058e-01 1.021740845959596022e+01
1.280000142318806489e-01 1.019176136363636331e+01
1.360000140488339671e-01 1.003985164141414188e+01
1.440000127217453962e-01 9.783380681818181657e+00
1.520000216910335211e-01 9.736032196969697239e+00
1.600000215079868393e-01 9.578203914141413478e+00
1.680000201808982963e-01 9.436158459595960224e+00
1.760000188538097254e-01 9.515072601010100328e+00
1.840000289671397116e-01 9.509154040404039776e+00
1.920000161996326671e-01 9.436158459595960224e+00
2.000000263129626255e-01 9.487452651515152269e+00
