# gamma	ratio
0.000000000000000000e+00 0.000000000000000000e+00
8.000000191767662680e-03 8.000000191767662680e-03
1.600000038353532883e-02 1.600000038353532883e-02
2.400000057530299324e-02 2.400000057530299324e-02
3.200000076707065072e-02 3.200000076707065072e-02
4.000000095883832207e-02 4.000000095883832207e-02
4.800000115060598649e-02 4.800000115060598649e-02
5.600000248384784385e-02 5.600000248384784385e-02
6.400000153414130144e-02 6.400000153414130144e-02
7.200000172590897973e-02 7.200000172590897973e-02
8.000000191767664415e-02 8.000000191767664415e-02
8.800000325091850151e-02 8.800000325091850151e-02
9.600000230121197298e-02 9.600000230121197298e-02
1.040000082003506021e-01 1.040000082003506021e-01
1.120000038262214948e-01 1.120000038262214948e-01
1.200000085838859309e-01 1.200000085838859309e-01
1.280000042097568236e-01 1.280000042097568236e-01
1.360000089674212598e-01 1.360000089674212598e-01
1.440000045932921802e-01 1.440000045932921802e-01
1.520000093509565886e-01 1.520000093509565886e-01
1.600000049768274812e-01 1.600000049768274812e-01
1.680000108759660826e-01 1.680000108759660826e-01
1.760000053603628378e-01 1.760000053603628378e-01
1.840000101180272463e-01 1.840000101180272463e-01
1.920000057438981389e-01 1.920000057438981389e-01
2.000000002282948386e-01 2.000000002282948386e-01
