# gamma	CrltnCoeff
0.000000000000000000e+00 -2.111485990760382167e-02
8.000000377542674374e-03 -5.712324550571181575e-02
1.600000075508534875e-02 -4.769312278179010933e-02
2.400000228367276528e-02 -1.001304672493213976e-01
3.200000151017069749e-02 -6.577439595547460160e-02
4.000000303875811403e-02 -8.853647513794345170e-02
4.800000456734553056e-02 -1.226577308399023764e-01
5.600000494488820840e-02 -1.160489747684915612e-01
6.400000302034139499e-02 -1.663814647245920875e-01
7.200000109579460239e-02 -1.112310224736610398e-01
8.000000607751622805e-02 -1.573536013322759386e-01
8.800000530401416721e-02 -1.214688434834266806e-01
9.600000913469106112e-02 -1.375578777544513021e-01
1.040000083611890003e-01 -1.715108070076518665e-01
1.120000075876869394e-01 -1.804604950186340095e-01
1.200000068141848647e-01 -1.619819690700943504e-01
1.280000048896380582e-01 -1.852703709352545303e-01
1.360000041161359974e-01 -2.138500341743063971e-01
1.440000033426339365e-01 -2.095662128454743867e-01
1.520000025691318757e-01 -2.290707508904463452e-01
1.600000121550324561e-01 -2.123080120451721065e-01
1.680000113815303953e-01 -2.397609842437631034e-01
1.760000094569836027e-01 -2.253033076107956167e-01
1.840000086834815418e-01 -2.431248613893184085e-01
1.920000194204268817e-01 -2.286605787986346339e-01
2.000000174958800614e-01 -2.631814575800605072e-01
