# gamma	CrltnCoeff
0.000000000000000000e+00 -9.014057522572191394e-02
8.000000009170841336e-03 1.267430361063666688e-01
1.600000001834168267e-02 -1.975984741164740419e-02
2.399999888115735350e-02 -7.149912780896204578e-02
3.200000003668336535e-02 8.970573448388625970e-02
4.000000119220936678e-02 1.467280405756198058e-01
4.799999890866987751e-02 -3.216212368857642584e-02
5.600000006419588588e-02 1.564713275086393462e-01
6.400000007336673069e-02 9.930803466706961125e-02
7.200000008253755468e-02 1.093886072022312028e-01
8.000000238441873357e-02 1.317777118881230114e-01
8.800000239358957144e-02 1.298500251959984753e-01
9.599999667098459144e-02 1.214527005672735444e-01
1.040000024119312610e-01 -1.567065292204164739e-01
1.119999989820365943e-01 -9.507270015036754784e-02
1.200000047229832778e-01 1.764890783179172418e-02
1.279999990003782839e-01 -8.276006192655910310e-02
1.360000070340352807e-01 -1.734968620455555610e-02
1.440000013114303146e-01 2.671570188722170378e-02
1.519999955888253207e-01 2.412173930845956400e-03
1.600000024761271400e-01 9.646229278043734479e-02
1.679999978998773236e-01 -7.139232410426178850e-03
1.760000036408239932e-01 5.525140275011551638e-02
1.840000093817706628e-01 1.655149634301093242e-01
1.919999944883243326e-01 3.614825696072800770e-02
2.000000002292710022e-01 5.912178801477700751e-02
