# gamma	CrltnCoeff
0.000000000000000000e+00 -3.516373831903323033e-02
7.999999981539468452e-03 -5.546276869943230631e-02
1.599999996307893690e-02 -4.327399598184690499e-02
2.400000109840154383e-02 -7.884031802491678342e-02
3.199999877237474227e-02 -6.482016710899501932e-02
3.999999990769734226e-02 -8.997158497465557181e-02
4.800000104301994919e-02 -1.140723517251780034e-01
5.600000217834255611e-02 -9.047820281288342092e-02
6.399999754474948455e-02 -1.506437008669001543e-01
7.199999868007207759e-02 -1.540056778875547872e-01
7.999999981539468452e-02 -1.579700003909426387e-01
8.800000095071729145e-02 -1.749587298688527748e-01
9.600000208603989837e-02 -1.732302953024323910e-01
1.039999974524468268e-01 -1.624877401802144739e-01
1.120000043566851122e-01 -1.817515263556552518e-01
1.199999997230920545e-01 -2.212271018115405385e-01
1.279999950894989691e-01 -2.580962931423546602e-01
1.360000019937372129e-01 -2.687633892598715324e-01
1.439999973601441552e-01 -2.612824934636173713e-01
1.520000042643824545e-01 -2.934065617962902106e-01
1.599999996307893690e-01 -2.648337788117973712e-01
1.679999961509794359e-01 -2.802875679990014524e-01
1.760000019014345829e-01 -2.840451353018351721e-01
1.839999972678415252e-01 -2.742997596886339595e-01
1.920000041720797967e-01 -2.921186791085353951e-01
1.999999995384867113e-01 -2.949818846509582038e-01
