# gamma	CrltnCoeff
0.000000000000000000e+00 -6.529378887380241081e-02
8.000000339825966145e-03 -8.492942261634628398e-02
1.600000067965193229e-02 -8.998457059229197919e-02
2.399999987141720331e-02 -8.077366401730461110e-02
3.200000135930386458e-02 -9.479261378646204605e-02
4.000000055106913560e-02 -1.001898609837849619e-01
4.799999859477371150e-02 -1.151563360003151487e-01
5.600000123072106789e-02 -1.192103658006192918e-01
6.400000271860772916e-02 -1.513573901403582056e-01
7.200000420649439736e-02 -1.543497130889742996e-01
8.000000110213827120e-02 -1.645155456656292314e-01
8.800000144196422347e-02 -1.642367667739060844e-01
9.599999718954742300e-02 -1.570853162260968383e-01
1.040000044177375599e-01 -1.892047956135887998e-01
1.120000013133814337e-01 -2.152722516579685108e-01
1.199999970609646333e-01 -2.283458362216521376e-01
1.280000042891547563e-01 -2.327899580505403965e-01
1.360000000367379558e-01 -2.590900644304790501e-01
1.440000072649280649e-01 -2.677267321094219388e-01
1.520000030125112644e-01 -2.734023479234867771e-01
1.599999999081551660e-01 -2.835704453674323666e-01
1.680000071363453029e-01 -2.878420777458866597e-01
1.760000028839284747e-01 -2.729122725895108958e-01
1.839999986315116742e-01 -2.719733480926155300e-01
1.919999955271555481e-01 -2.745054459227567745e-01
2.000000130878919202e-01 -2.515537822626729980e-01
